年級,科目,教授,年份,類別,名稱,路徑
大三以上,通訊系統導論,黃家齊,108學年,小考,quiz4,大三以上選修/通訊系統導論/黃家齊/通訊系統導論108-2/通訊系統導論_黃家齊/小考4/quiz4.zip
大三以上,通訊系統導論,黃家齊,108學年,期中考,midterm,大三以上選修/通訊系統導論/黃家齊/2020/midterm/midterm.zip
大三以上,通訊系統導論,黃家齊,108學年,期中考,midterm,大三以上選修/通訊系統導論/黃家齊/通訊系統導論108-2/通訊系統導論_黃家齊/midterm.zip
大三以上,通訊系統導論,黃家齊,108學年,期末考,final,大三以上選修/通訊系統導論/黃家齊/通訊系統導論108-2/通訊系統導論_黃家齊/final.zip
大三以上,程式化邏輯系統設計,歐陽盟,102學年,期中考,midterm,大三以上選修/程式化邏輯系統設計/2013_Midterm.zip
大三以上,程式化邏輯系統設計,歐陽盟,104學年,期末考,final,大三以上選修/程式化邏輯系統設計/2015_Final.zip
大三以上,程式化邏輯系統設計,歐陽盟,107學年,期末考,final,大三以上選修/程式化邏輯系統設計/2018_Final.zip
大三以上,電力電子實驗,陳鴻祺,101學年,小考,quiz,大三以上選修/電力電子實驗/陳鴻祺/101學年度考古題/quiz.zip
大三以上,電力電子實驗,陳鴻祺,105學年,小考,quiz,大三以上選修/電力電子實驗/陳鴻祺/105學年度考古題/FY105電力電子實驗小考01解答.pdf
大三以上,電力電子實驗,陳鴻祺,105學年,期中考,midterm,大三以上選修/電力電子實驗/陳鴻祺/105學年度考古題/midterm.zip
大三以上,電力電子實驗,陳鴻祺,105學年,期末考,final,大三以上選修/電力電子實驗/陳鴻祺/105學年度考古題/final.zip
大三以上,電力電子實驗,陳鴻祺,105學年,實驗,lab1,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab1.zip
大三以上,電力電子實驗,陳鴻祺,105學年,實驗,lab2,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab2.zip
大三以上,電力電子實驗,陳鴻祺,105學年,實驗,lab3,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab3.zip
大三以上,電力電子實驗,陳鴻祺,105學年,實驗,lab4,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab4.zip
大三以上,電力電子實驗,陳鴻祺,105學年,實驗,lab5,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab5.zip
大三以上,電力電子實驗,陳鴻祺,105學年,實驗,lab6,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab6.zip
大三以上,電力電子實驗,陳鴻祺,105學年,實驗,lab7,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab7.zip
大三以上,電力電子實驗,陳鴻祺,105學年,實驗,lab8,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab8.zip
大三以上,電力電子實驗,陳鴻祺,105學年,實驗,lab9,大三以上選修/電力電子實驗/陳鴻祺/2016Fall/Lab/lab9.zip
大三以上,電力電子實驗,陳鴻祺,106學年,期末考,final,大三以上選修/電力電子實驗/陳鴻祺/2017Fall/2017final.pdf
大三以上,電力電子實驗,陳鴻祺,107學年,小考,quiz,大三以上選修/電力電子實驗/陳鴻祺/107小考/quiz.zip
大三以上,電力電子導論,王信雄,108學年,期中考,midterm,大三以上選修/電力電子導論/王信雄/2018mid.zip
大三以上,電力電子導論,王信雄,108學年,作業,hw1,大三以上選修/電力電子導論/王信雄/homework/HW1.zip
大三以上,電力電子導論,王信雄,108學年,作業,hw2,大三以上選修/電力電子導論/王信雄/homework/HW2.zip
大三以上,電力電子導論,王信雄,108學年,作業,hw3,大三以上選修/電力電子導論/王信雄/homework/HW3.zip
大三以上,電力電子導論,王信雄,108學年,作業,hw4,大三以上選修/電力電子導論/王信雄/homework/HW4.zip
大三以上,電力電子導論,王信雄,108學年,作業,hw5,大三以上選修/電力電子導論/王信雄/homework/HW5.zip
大三以上,電力電子導論,王信雄,108學年,作業,hw6,大三以上選修/電力電子導論/王信雄/homework/HW6.zip
大三以上,電力電子導論,王信雄,108學年,作業,hw7,大三以上選修/電力電子導論/王信雄/homework/HW7.zip
